call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;5;1;4;4
2;normal;5;1;4;4
3;normal;4;1;4;4
4;normal;4;1;4;4
5;normal;1;1;2;2
6;normal;1;1;2;2
7;normal;5;1;4;5
8;normal;3;1;4;5
9;normal;4;1;2;5
10;normal;4;1;2;5
call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;5;1;4;4
2;normal;5;1;4;4
3;normal;4;1;4;4
4;normal;4;1;4;4
5;normal;1;1;2;2
6;normal;2;1;2;2
7;normal;11;1;4;5
8;normal;5;1;4;5
9;normal;4;1;2;5
10;normal;5;1;2;5
call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;5;1;4;4
2;normal;5;1;4;4
3;normal;4;1;4;4
4;normal;4;1;4;4
5;normal;1;1;2;2
6;normal;1;1;2;2
7;normal;6;1;4;5
8;normal;3;1;4;5
9;normal;4;1;2;5
10;normal;4;1;2;5
