call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;32;1;6;6
2;normal;25;1;6;6
3;normal;6;1;6;6
4;normal;3;1;4;4
5;normal;1;1;4;4
6;normal;2;1;4;4
7;normal;70;1;6;16
8;normal;35;1;6;16
9;normal;23;1;6;16
10;normal;19;1;4;16
11;normal;41;1;4;16
12;normal;11;1;4;16
13;Warm_Start;68;1;6;18
14;Warm_Start;20;1;6;18
15;Warm_Start;16;1;6;18
16;Warm_Start;20;1;4;18
17;Warm_Start;33;1;4;18
18;Warm_Start;14;1;4;18
19;Warm_Start;129;1;6;17
20;Warm_Start;21;1;6;17
21;Warm_Start;17;1;6;17
22;Warm_Start;23;1;4;17
23;Warm_Start;20;1;4;17
24;Warm_Start;9;1;4;17
25;Warm_Start;56;1;6;17
26;Warm_Start;17;1;6;17
27;Warm_Start;14;1;6;17
28;Warm_Start;94;1;4;17
29;Warm_Start;33;1;4;17
30;Warm_Start;8;1;4;17
31;Warm_Start;105;1;6;16
32;Warm_Start;29;1;6;16
33;Warm_Start;21;1;6;16
34;Warm_Start;10;1;4;16
35;Warm_Start;84;1;4;16
36;Warm_Start;9;1;4;16
37;Warm_Start;82;1;6;15
38;Warm_Start;15;1;6;15
39;Warm_Start;49;1;6;15
40;Warm_Start;7;1;4;15
41;Warm_Start;11;1;4;15
42;Warm_Start;7;1;4;15
43;Warm_Start;35;1;6;13
44;Warm_Start;44;1;6;13
45;Warm_Start;12;1;6;13
46;Warm_Start;23;1;4;13
47;Warm_Start;9;1;4;13
48;Warm_Start;6;1;4;13
49;Warm_Start;27;1;6;12
50;Warm_Start;11;1;6;12
51;Warm_Start;11;1;6;12
52;Warm_Start;6;1;4;12
53;Warm_Start;7;1;4;12
54;Warm_Start;6;1;4;12
55;Warm_Start;19;1;6;11
56;Warm_Start;25;1;6;11
57;Warm_Start;8;1;6;11
58;Warm_Start;5;1;4;11
59;Warm_Start;6;1;4;11
60;Warm_Start;5;1;4;11
61;Warm_Start;9;1;6;10
62;Warm_Start;8;1;6;10
63;Warm_Start;7;1;6;10
64;Warm_Start;3;1;4;10
65;Warm_Start;6;1;4;10
66;Warm_Start;3;1;4;10
67;Warm_Start;8;1;6;10
68;Warm_Start;5;1;6;10
69;Warm_Start;7;1;6;10
70;Warm_Start;3;1;4;10
71;Warm_Start;6;1;4;10
72;Warm_Start;3;1;4;10
73;Warm_Start;10;1;6;9
74;Warm_Start;8;1;6;9
75;Warm_Start;9;1;6;9
76;Warm_Start;2;1;4;9
77;Warm_Start;6;1;4;9
78;Warm_Start;3;1;4;9
79;Warm_Start;5;1;6;8
80;Warm_Start;4;1;6;8
81;Warm_Start;6;1;6;8
82;Warm_Start;2;1;4;8
83;Warm_Start;5;1;4;8
84;Warm_Start;2;1;4;8
85;Warm_Start;4;1;6;7
86;Warm_Start;4;1;6;7
87;Warm_Start;5;1;6;7
88;Warm_Start;1;1;4;7
89;Warm_Start;4;1;4;7
90;Warm_Start;2;1;4;7
91;Warm_Start;4;1;6;6
92;Warm_Start;4;1;6;6
93;Warm_Start;3;1;6;6
94;Warm_Start;2;1;4;6
95;Warm_Start;2;1;4;6
96;Warm_Start;4;1;4;6
97;Warm_Start;3;1;6;5
