call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;115;1;6;6
2;normal;14;1;6;6
3;normal;6;1;6;6
4;normal;3;1;4;4
5;normal;1;1;4;4
6;normal;2;1;4;4
7;normal;75;1;6;17
8;normal;32;1;6;17
9;normal;34;1;6;17
10;normal;28;1;4;17
11;normal;47;1;4;17
12;normal;63;1;4;17
13;Warm_Start;80;1;6;17
14;Warm_Start;49;1;6;17
15;Warm_Start;35;1;6;17
16;Warm_Start;34;1;4;17
17;Warm_Start;108;1;4;17
18;Warm_Start;42;1;4;17
19;Warm_Start;88;1;6;16
20;Warm_Start;44;1;6;16
21;Warm_Start;34;1;6;16
22;Warm_Start;36;1;4;16
23;Warm_Start;61;1;4;16
24;Warm_Start;14;1;4;16
25;Warm_Start;61;1;6;16
26;Warm_Start;45;1;6;16
27;Warm_Start;40;1;6;16
28;Warm_Start;32;1;4;16
29;Warm_Start;20;1;4;16
30;Warm_Start;12;1;4;16
31;Warm_Start;58;1;6;15
32;Warm_Start;74;1;6;15
33;Warm_Start;31;1;6;15
34;Warm_Start;46;1;4;15
35;Warm_Start;45;1;4;15
36;Warm_Start;31;1;4;15
37;Warm_Start;86;1;6;14
38;Warm_Start;95;1;6;14
39;Warm_Start;11;1;6;14
40;Warm_Start;7;1;4;14
41;Warm_Start;17;1;4;14
42;Warm_Start;11;1;4;14
43;Warm_Start;47;1;6;13
44;Warm_Start;28;1;6;13
45;Warm_Start;8;1;6;13
46;Warm_Start;6;1;4;13
47;Warm_Start;8;1;4;13
48;Warm_Start;10;1;4;13
49;Warm_Start;39;1;6;12
50;Warm_Start;33;1;6;12
51;Warm_Start;6;1;6;12
52;Warm_Start;25;1;4;12
53;Warm_Start;10;1;4;12
54;Warm_Start;5;1;4;12
55;Warm_Start;26;1;6;11
56;Warm_Start;26;1;6;11
57;Warm_Start;10;1;6;11
58;Warm_Start;6;1;4;11
59;Warm_Start;7;1;4;11
60;Warm_Start;6;1;4;11
61;Warm_Start;48;1;6;10
62;Warm_Start;9;1;6;10
63;Warm_Start;4;1;6;10
64;Warm_Start;5;1;4;10
65;Warm_Start;6;1;4;10
66;Warm_Start;5;1;4;10
67;Warm_Start;73;1;6;9
68;Warm_Start;8;1;6;9
69;Warm_Start;4;1;6;9
70;Warm_Start;4;1;4;9
71;Warm_Start;7;1;4;9
72;Warm_Start;5;1;4;9
73;Warm_Start;40;1;6;8
74;Warm_Start;7;1;6;8
75;Warm_Start;4;1;6;8
76;Warm_Start;3;1;4;8
77;Warm_Start;5;1;4;8
78;Warm_Start;2;1;4;8
79;Warm_Start;23;1;6;7
80;Warm_Start;4;1;6;7
81;Warm_Start;3;1;6;7
82;Warm_Start;2;1;4;7
83;Warm_Start;4;1;4;7
84;Warm_Start;2;1;4;7
85;Warm_Start;7;1;6;6
86;Warm_Start;3;1;6;6
87;Warm_Start;3;1;6;6
88;Warm_Start;2;1;4;6
89;Warm_Start;4;1;4;6
90;Warm_Start;2;1;4;6
91;Warm_Start;7;1;6;6
92;Warm_Start;4;1;8;6
93;Warm_Start;2;1;4;6
94;Warm_Start;2;1;4;6
95;Warm_Start;4;1;4;6
96;Warm_Start;1;1;4;6
97;Warm_Start;5;1;4;7
98;Warm_Start;15;1;6;7
99;Warm_Start;3;1;6;7
100;Warm_Start;2;1;4;7
101;Warm_Start;5;1;6;7
102;Warm_Start;3;1;4;7
103;Warm_Start;3;1;4;7
104;Warm_Start;8;1;6;7
105;Warm_Start;3;1;6;7
106;Warm_Start;2;1;4;7
107;Warm_Start;5;1;6;7
108;Warm_Start;3;1;4;7
109;Warm_Start;4;1;6;6
110;Warm_Start;6;1;6;6
111;Warm_Start;3;1;6;6
112;Warm_Start;2;1;4;6
113;Warm_Start;4;1;4;6
114;Warm_Start;1;1;4;6
115;Warm_Start;3;1;6;6
116;Warm_Start;6;1;6;6
117;Warm_Start;2;1;6;6
118;Warm_Start;2;1;4;6
119;Warm_Start;2;1;4;6
120;Warm_Start;1;1;4;6
121;Warm_Start;47;1;6;10
122;Warm_Start;113;1;6;10
123;Warm_Start;7;1;4;10
124;Warm_Start;3;1;4;10
125;Warm_Start;8;1;4;10
126;Warm_Start;5;1;6;10
127;Warm_Start;6;1;6;9
128;Warm_Start;31;1;6;9
129;Warm_Start;6;1;4;9
130;Warm_Start;2;1;4;9
131;Warm_Start;5;1;4;9
132;Warm_Start;3;1;6;9
133;Warm_Start;3;1;6;7
134;Warm_Start;44;1;6;7
135;Warm_Start;3;1;4;7
136;Warm_Start;2;1;4;7
137;Warm_Start;3;1;4;7
138;Warm_Start;3;1;6;7
139;Warm_Start;4;1;6;6
140;Warm_Start;9;1;6;6
141;Warm_Start;2;1;4;6
142;Warm_Start;2;1;4;6
143;Warm_Start;2;1;4;6
144;Warm_Start;2;1;6;6
145;Warm_Start;3;1;6;6
146;Warm_Start;9;1;6;6
147;Warm_Start;2;1;4;6
148;Warm_Start;2;1;4;6
149;Warm_Start;2;1;4;6
150;Warm_Start;3;1;6;6
151;Warm_Start;14;1;8;8
152;Warm_Start;10;1;6;8
153;Warm_Start;3;1;2;8
154;Warm_Start;2;1;4;8
155;Warm_Start;3;1;4;8
156;Warm_Start;4;1;6;8
157;Warm_Start;10;1;8;8
158;Warm_Start;9;1;6;8
159;Warm_Start;3;1;2;8
160;Warm_Start;2;1;4;8
161;Warm_Start;3;1;4;8
162;Warm_Start;4;1;6;8
163;Warm_Start;8;1;8;7
164;Warm_Start;15;1;6;7
165;Warm_Start;2;1;2;7
166;Warm_Start;2;1;4;7
167;Warm_Start;4;1;4;7
168;Warm_Start;3;1;6;7
169;Warm_Start;5;1;4;7
170;Warm_Start;48;1;8;7
171;Warm_Start;2;1;4;7
172;Warm_Start;2;1;4;7
173;Warm_Start;4;1;4;7
174;Warm_Start;4;1;6;7
175;Warm_Start;4;1;6;7
176;Warm_Start;13;1;6;7
177;Warm_Start;2;1;4;7
178;Warm_Start;2;1;4;7
179;Warm_Start;4;1;4;7
180;Warm_Start;4;1;6;7
181;Warm_Start;3;1;6;7
182;Warm_Start;9;1;6;7
183;Warm_Start;2;1;4;7
184;Warm_Start;1;1;4;7
185;Warm_Start;4;1;4;7
186;Warm_Start;3;1;6;7
187;Warm_Start;3;1;6;6
188;Warm_Start;6;1;6;6
189;Warm_Start;2;1;4;6
190;Warm_Start;2;1;4;6
191;Warm_Start;2;1;4;6
192;Warm_Start;2;1;6;6
193;Warm_Start;16;1;6;9
194;Warm_Start;20;1;6;9
195;Warm_Start;4;1;4;9
196;Warm_Start;4;1;4;9
197;Warm_Start;7;1;4;9
198;Warm_Start;6;1;6;9
199;Warm_Start;8;1;6;9
200;Warm_Start;79;1;6;9
201;Warm_Start;4;1;4;9
202;Warm_Start;5;1;4;9
203;Warm_Start;8;1;4;9
204;Warm_Start;4;1;6;9
205;Warm_Start;5;1;6;9
206;Warm_Start;60;1;6;9
207;Warm_Start;5;1;4;9
208;Warm_Start;5;1;4;9
209;Warm_Start;8;1;4;9
210;Warm_Start;3;1;6;9
211;Warm_Start;6;1;6;8
212;Warm_Start;15;1;6;8
213;Warm_Start;4;1;4;8
214;Warm_Start;2;1;4;8
215;Warm_Start;5;1;4;8
216;Warm_Start;4;1;6;8
217;Warm_Start;4;1;6;7
218;Warm_Start;20;1;6;7
219;Warm_Start;3;1;4;7
220;Warm_Start;2;1;4;7
221;Warm_Start;7;1;4;7
222;Warm_Start;4;1;6;7
223;Warm_Start;6;1;6;6
224;Warm_Start;9;1;6;6
225;Warm_Start;4;1;4;6
226;Warm_Start;1;1;4;6
227;Warm_Start;4;1;4;6
228;Warm_Start;3;1;6;6
229;Warm_Start;3;1;6;5
230;Warm_Start;6;1;6;5
231;Warm_Start;1;1;4;5
232;Warm_Start;1;1;4;5
233;Warm_Start;3;1;4;5
234;Warm_Start;2;1;6;5
235;Warm_Start;3;1;6;5
236;Warm_Start;7;1;6;5
237;Warm_Start;1;1;4;5
238;Warm_Start;1;1;4;5
239;Warm_Start;2;1;4;5
240;Warm_Start;2;1;6;5
241;Warm_Start;8;1;6;8
242;Warm_Start;12;1;6;8
243;Warm_Start;4;1;4;8
244;Warm_Start;2;1;4;8
245;Warm_Start;4;1;4;8
246;Warm_Start;4;1;6;8
247;Warm_Start;8;1;6;7
248;Warm_Start;13;1;6;7
249;Warm_Start;3;1;4;7
250;Warm_Start;2;1;4;7
251;Warm_Start;3;1;4;7
252;Warm_Start;4;1;6;7
253;Warm_Start;4;1;6;6
254;Warm_Start;9;1;6;6
255;Warm_Start;1;1;4;6
256;Warm_Start;2;1;4;6
257;Warm_Start;2;1;4;6
258;Warm_Start;3;1;6;6
259;Warm_Start;8;1;6;5
260;Warm_Start;3;1;6;5
261;Warm_Start;1;1;2;5
262;Warm_Start;2;1;6;5
263;Warm_Start;2;1;4;5
264;Warm_Start;2;1;6;5
265;Warm_Start;11;1;6;5
266;Warm_Start;3;1;6;5
267;Warm_Start;1;1;2;5
268;Warm_Start;2;1;6;5
269;Warm_Start;2;1;4;5
270;Warm_Start;2;1;6;5
271;Warm_Start;11;1;6;5
272;Warm_Start;3;1;6;5
273;Warm_Start;1;1;2;5
274;Warm_Start;2;1;4;5
275;Warm_Start;2;1;6;5
276;Warm_Start;2;1;6;5
277;Warm_Start;7;1;8;5
278;Warm_Start;4;1;4;5
279;Warm_Start;1;1;4;5
280;Warm_Start;1;1;4;5
281;Warm_Start;2;1;4;5
282;Warm_Start;2;1;6;5
283;Warm_Start;10;1;6;5
284;Warm_Start;4;1;6;5
285;Warm_Start;1;1;4;5
286;Warm_Start;1;1;4;5
287;Warm_Start;2;1;6;5
288;Warm_Start;1;1;4;5
289;Warm_Start;6;1;6;5
290;Warm_Start;3;1;6;5
291;Warm_Start;2;1;4;5
292;Warm_Start;1;1;4;5
293;Warm_Start;2;1;6;5
294;Warm_Start;1;1;4;5
295;Warm_Start;7;1;8;5
296;Warm_Start;3;1;6;5
297;Warm_Start;1;1;4;5
298;Warm_Start;1;1;4;5
299;Warm_Start;3;1;6;5
300;Warm_Start;4;1;2;5
301;Warm_Start;10;1;6;5
302;Warm_Start;3;1;6;5
303;Warm_Start;1;1;4;5
304;Warm_Start;1;1;4;5
305;Warm_Start;2;1;6;5
306;Warm_Start;2;1;4;5
307;Warm_Start;11;1;6;5
308;Warm_Start;3;1;6;5
309;Warm_Start;1;1;4;5
310;Warm_Start;1;1;4;5
311;Warm_Start;2;1;6;5
312;Warm_Start;2;1;4;5
313;Warm_Start;7;1;6;7
314;Warm_Start;4;1;6;7
315;Warm_Start;3;1;4;7
316;Warm_Start;2;1;4;7
317;Warm_Start;3;1;6;7
318;Warm_Start;5;1;4;7
319;Warm_Start;8;1;6;6
320;Warm_Start;4;1;6;6
321;Warm_Start;3;1;4;6
322;Warm_Start;3;1;4;6
323;Warm_Start;5;1;6;6
324;Warm_Start;4;1;4;6
325;Warm_Start;10;1;6;5
326;Warm_Start;4;1;6;5
327;Warm_Start;2;1;4;5
328;Warm_Start;2;1;4;5
329;Warm_Start;4;1;6;5
330;Warm_Start;3;1;4;5
331;Warm_Start;45;1;6;9
332;Warm_Start;9;1;6;9
333;Warm_Start;4;1;4;9
334;Warm_Start;4;1;4;9
335;Warm_Start;5;1;6;9
336;Warm_Start;3;1;4;9
337;Warm_Start;49;1;6;8
338;Warm_Start;7;1;6;8
339;Warm_Start;2;1;4;8
340;Warm_Start;4;1;4;8
341;Warm_Start;3;1;6;8
342;Warm_Start;2;1;4;8
343;Warm_Start;8;1;6;7
344;Warm_Start;6;1;6;7
345;Warm_Start;2;1;4;7
346;Warm_Start;3;1;4;7
347;Warm_Start;3;1;6;7
348;Warm_Start;2;1;4;7
349;Warm_Start;7;1;6;6
350;Warm_Start;4;1;6;6
351;Warm_Start;1;1;4;6
352;Warm_Start;2;1;4;6
353;Warm_Start;3;1;6;6
354;Warm_Start;2;1;4;6
355;Warm_Start;6;1;6;5
356;Warm_Start;2;1;6;5
357;Warm_Start;1;1;4;5
358;Warm_Start;1;1;4;5
359;Warm_Start;3;1;6;5
360;Warm_Start;1;1;4;5
361;Warm_Start;13;1;6;8
362;Warm_Start;7;1;6;8
363;Warm_Start;5;1;4;8
364;Warm_Start;3;1;4;8
365;Warm_Start;3;1;6;8
366;Warm_Start;2;1;4;8
367;Warm_Start;15;1;6;7
368;Warm_Start;5;1;6;7
369;Warm_Start;4;1;4;7
370;Warm_Start;2;1;4;7
371;Warm_Start;4;1;6;7
372;Warm_Start;2;1;4;7
373;Warm_Start;8;1;6;6
374;Warm_Start;3;1;6;6
375;Warm_Start;2;1;4;6
376;Warm_Start;1;1;4;6
377;Warm_Start;3;1;6;6
378;Warm_Start;2;1;4;6
379;Warm_Start;5;1;6;5
380;Warm_Start;3;1;6;5
381;Warm_Start;1;1;4;5
382;Warm_Start;1;1;4;5
383;Warm_Start;3;1;6;5
384;Warm_Start;2;1;4;5
385;Warm_Start;7;1;6;5
386;Warm_Start;4;1;4;5
387;Warm_Start;1;1;4;5
388;Warm_Start;2;1;6;5
389;Warm_Start;2;1;6;5
390;Warm_Start;1;1;4;5
391;Warm_Start;7;1;6;5
392;Warm_Start;4;1;4;5
393;Warm_Start;1;1;4;5
394;Warm_Start;2;1;6;5
395;Warm_Start;2;1;6;5
396;Warm_Start;1;1;4;5
397;Warm_Start;6;1;6;5
398;Warm_Start;2;1;4;5
399;Warm_Start;1;1;4;5
400;Warm_Start;2;1;6;5
401;Warm_Start;2;1;6;5
402;Warm_Start;1;1;4;5
403;Warm_Start;9;1;6;7
404;Warm_Start;4;1;6;7
405;Warm_Start;2;1;4;7
406;Warm_Start;2;1;4;7
407;Warm_Start;7;1;6;7
408;Warm_Start;2;1;4;7
409;Warm_Start;6;1;6;6
410;Warm_Start;3;1;6;6
411;Warm_Start;2;1;4;6
412;Warm_Start;1;1;4;6
413;Warm_Start;3;1;6;6
414;Warm_Start;2;1;4;6
415;Warm_Start;4;1;6;5
416;Warm_Start;3;1;6;5
417;Warm_Start;1;1;4;5
418;Warm_Start;1;1;4;5
419;Warm_Start;3;1;6;5
420;Warm_Start;2;1;4;5
421;Warm_Start;8;1;6;7
422;Warm_Start;6;1;6;7
423;Warm_Start;3;1;4;7
424;Warm_Start;3;1;4;7
425;Warm_Start;4;1;6;7
426;Warm_Start;3;1;4;7
427;Warm_Start;5;1;6;6
428;Warm_Start;6;1;6;6
429;Warm_Start;2;1;4;6
430;Warm_Start;2;1;4;6
431;Warm_Start;3;1;6;6
432;Warm_Start;2;1;4;6
433;Warm_Start;5;1;6;6
434;Warm_Start;4;1;6;6
435;Warm_Start;2;1;4;6
436;Warm_Start;2;1;4;6
437;Warm_Start;3;1;6;6
438;Warm_Start;2;1;4;6
439;Warm_Start;5;1;6;5
440;Warm_Start;2;1;6;5
441;Warm_Start;1;1;4;5
442;Warm_Start;1;1;4;5
443;Warm_Start;2;1;6;5
444;Warm_Start;1;1;4;5
445;Warm_Start;29;1;8;8
446;Warm_Start;6;1;4;8
447;Warm_Start;3;1;4;8
448;Warm_Start;4;1;4;8
449;Warm_Start;15;1;4;8
450;Warm_Start;18;1;6;8
451;Warm_Start;31;1;8;8
452;Warm_Start;5;1;4;8
453;Warm_Start;6;1;6;8
454;Warm_Start;3;1;4;8
455;Warm_Start;6;1;4;8
456;Warm_Start;8;1;4;8
457;Warm_Start;6;1;8;7
458;Warm_Start;5;1;4;7
459;Warm_Start;4;1;6;7
460;Warm_Start;2;1;4;7
461;Warm_Start;2;1;4;7
